text,code
It was nice to meet you. Goodnight!,Green
Goodnight! See you tomorrow.,Green
"Good morning, Mr. Houston",Green
"Good afternoon, Ms. Partridge",Green
"Good morning, Tom",Green
"Good evening, Kelly",Green
Hi,Green
Hello,Green
Hey,Green
How's it going?,Green
How is everything/life?,Green
How are things?,Green
What's up/new?,Green
What's going on?,Green
How have you been?,Green
Long-time no see.,Green
It's been a while.,Green
Goodbye.,Green
Bye.,Green
It was nice to meet you.,Green
It was nice meeting you.,Green
Goodnight.,Green
Have a good night.,Green
See you.,Green
See you soon,Green
See you next time,Green
See you later,Green
See you tomorrow,Green
I have to go now,Green
I have to get going,Green
(It was) good seeing you,Green
Take care (of yourself),Green
Till next time,Green
"Hello, it's a pleasure to meet you",Green
(It's) (very) nice to meet you,Green
Pleased to meet you,Green
Glad to meet you,Green
Good  to meet you,Green
How do you do.,Green
"I believe in you, no matter what happens",Green
"I’m here for you, no matter what",Green
You’ve got this,Green
YOU are the prize!,Green
You are the master of your own destiny,Green
"Hey, you are my hero. You pulled it together when I needed you most. Thank you",Green
What you did took some serious bravery. I’m really proud of you,Green
Look at me… Take a deep breath in… now out…,Green
Everything will work out the way it is supposed to.,Green
You never know what gifts life can give you in moments of real need. Keep your eyes open for them,Green
"You did great; after all, you did your best, and that’s what constitutes greatness in my eyes.",Green
"Don’t give up when dark times come. The more storms you face in life, the stronger you’ll be. Hold on. Your greater is coming",Green
"The sky is everywhere, it begins at your feet",Green
Stop feeling sorry for yourself and you will be happy,Green
I’ve got nothing to do today but smile,Green
"Nobody is superior, nobody is inferior, but nobody is equal either. People are simply unique, incomparable. You are you, I am I.",Green
"Let us be of good cheer, however, remembering that the misfortunes hardest to bear are those which never come",Green
"Laugh now, cry later",Green
"Cheer up, my dear. After every storm comes the sun. Happiness is waiting for you ahead",Green
"Once they move, they’re gone. Once you move, life starts over again",Green
It’s better to have loved and lost than never to have loved at all,Green
What doesn’t kill you makes you stronger,Green
"My entire life can be described in one sentence: It didn’t go as planned, and that’s okay",Green
The best of healers is good cheer,Green
Turn adversity into triumph,Green
For every minute you are angry you lose sixty seconds of happiness,Green
"No matter how you feel, get up, dress up, show up, and never give up",Green
"Right now you can cry to your heart’s content. But trust me, someday you will wake and forget about him",Green
Life is not a problem to be solved but a gift to be enjoyed,Green
The best way to cheer yourself up is to try to cheer somebody else up,Green
There’s something in you that the world needs,Green
Be positive. Stay happy and don’t let the negativity of the world get you down,Green
Don’t deny your feelings. They alone are what guide you through life,Green
"You’re braver than you believe, and stronger than you seem, and smarter than you think",Green
Reminder that Winnie the Pooh wore a crop top w/ no panties and ate his fave food and love himself and u can too,Green
"When you are feeling sad, just remember that somewhere in the world, there’s a moron pushing a door that said pull",Green
Don’t be sad because of people. They will all die,Green
"Five Ups of life: Buckle up, Start up, Keep it up, Don’t give up, Cheer up",Green
"We are very near the end, but have not and will not lose our good cheer",Green
"Enjoy the little things and be joyful, for one day you may look back and realize they were actually the things that mattered",Green
We are our choices,Green
"Very little is needed to make a happy life; it is all within yourself, in your way of thinking",Green
Everything you want is on the other side of fear,Green
"Cheer up, the worst is yet to come",Green
"It is the hopeful, buoyant, cheerful attitude of mind that wins. Optimism is a success builder, pessimism an achievement killer",Green
"Our greatest glory is not in ever failing, but in rising every time we fail",Green
"I know you, you are awesome, you are strong and you will be able to make things better",Green
Life is too short for us to dwell on sadness. Cheer up and live life to the fullest,Green
You’ll never find a rainbow if you’re looking down,Green
"Whoever is trying to bring you down, is already below you",Green
You are awesome! Never forget that,Green
"Forget what’s gone, appreciate what remains, and look forward what’s coming next",Green
"Remember that sometimes, not getting what you want is a wonderful stroke of luck",Green
Being happy doesn’t mean that everything is perfect. It simply means that you’ve decided to look beyond the imperfections of life,Green
The people who are always trying to cheer others up are unhappy themselves,Green
"Always remember, you are braver than you believe. Stronger than you seem. Smarter than you think. And twice as beautiful as you’d ever imagined",Green
In the middle of difficulty lies opportunity,Green
"Cheer up, buttercup. Storms don’t last forever",Green
Life is not a waste as long as there is at least one person in the world who cares for you. So when things go wrong and you feel like giving up – remember you’ve got me,Green
"Stay positive, work hard, and make it happen",Green
"Winners are not people who never fail, but people who never quit",Green
Beautiful. Definition: A person who is reading this,Green
You are confined only by the walls you build yourself,Green
"You don’t always need a plan. Sometimes you just need to breathe, trust, let go and see what happens",Green
"God will not give you a burden you can’t handle. So, if you find yourself in a mess that’s impossible to resolve, take this challenge as a compliment",Green
Sometimes you have to just pick yourself up and carry on,Green
Sometimes the reason good things are not happening to you is because you are the good thing that needs to happen to other people,Green
"An original is worth more than a copy, so be yourself",Green
If “Plan A” didn’t work. The alphabet has 25 more letters! Stay cool,Green
"Cheer up, tomorrow is another chance",Green
Stars can’t shine without darkness,Green
 Life is better when you’re laughing,Green
"Two things define you. Your patience when you have nothing, and your attitude when you have everything",Green
"After every storm the sun will smile; for every problem, there is a solution, and the soul’s indefeasible duty is to be of good cheer",Green
The best way to cheer yourself up is to try to cheer somebody else up,Green
"The energy you give off is the energy you receive. I really think that, so I’m always myself – jumping, dancing, singing around, trying to cheer everybody up",Green
"If more of us valued food and cheer and song above hoarded gold, it would be a merrier world",Green
"Let us be of cheer, remembering that the misfortunes hardest to bear are those which never come",Green
The best of healers is good cheer,Green
"No matter what looms ahead, if you can eat today, enjoy today, mix good cheer with friends today enjoy it and bless God for it.",Green
"Happiness is when what you think, what you say, and what you do are in harmony",Green
Folks are usually about as happy as they make their minds up to be,Green
"Count your age by friends, not years. Count your life by smiles, not tears",Green
The purpose of our lives is to be happy,Green
"The more you praise and celebrate your life, the more there is in life to celebrate",Green
